Year,City,Country,source_table,Closing ceremony,Firstyear,Lastyear,Opening ceremony,Ref.,Region,Summer,Summer Olympics,Total,Winter,Winter Olympics,extra_9
Norway,,Oslo,wikitable,25 February 1952,,,14 February 1952,,1952,,,,W006 VI,,
Finland,,Helsinki,wikitable,,,,3 August 1952,,S015 XV,,,,19 July 1952,,
Italy,,Cortina d'Ampezzo,wikitable,5 February 1956,,,26 January 1956,,1956,,,,W007 VII,,
Australia Sweden,,Melbourne Stockholm [ f ],wikitable,17 June 1956 8 December 1956,,,10 June 1956 22 November 1956,[ 22 ],Oceania Europe,S016 XVI,,,,,
United States,,Squaw Valley,wikitable,18 February 1960,,,W008 VIII,28 February 1960,1960,North America,,,,,
Italy,,Rome,wikitable,11 September 1960,,,27 August 1960,,Europe,S017 XVII,,,,,
Austria,,Innsbruck,wikitable,9 February 1964,,,29 January 1964,,1964,,,,W009 IX,,
Japan,,Tokyo,wikitable,24 October 1964,,,10 October 1964,,Asia,S018 XVIII,,,,,
France,,Grenoble,wikitable,6 February 1968,,,W010 X,18 February 1968,1968,Europe,,,,,
Mexico,,Mexico City,wikitable,27 October 1968,,,12 October 1968,,North America,S019 XIX,,,,,
Japan,,Sapporo,wikitable,3 February 1972,,,W011 XI,13 February 1972,1972,Asia,,,,,
West Germany,,Munich,wikitable,11 September 1972 [ g ],,,26 August 1972,,Europe,S020 XX,,,,,
Austria,,Innsbruck [ h ],wikitable,15 February 1976,,,4 February 1976,,1976,,,,W012 XII,,
Canada,,Montreal,wikitable,1 August 1976,,,17 July 1976,,North America,S021 XXI,,,,,
United States,,Lake Placid,wikitable,24 February 1980,,,13 February 1980,,1980,,,,W013 XIII,,
Soviet Union [ i ],,Moscow,wikitable,3 August 1980,,,19 July 1980,,Europe,S022 XXII,,,,,
Yugoslavia [ j ],,Sarajevo,wikitable,19 February 1984,,,8 February 1984,,1984,,,,W014 XIV,,
United States,,Los Angeles,wikitable,12 August 1984,,,28 July 1984,,North America,S023 XXIII,,,,,
Canada,,Calgary,wikitable,28 February 1988,,,13 February 1988,,1988,,,,W015 XV,,
South Korea,,Seoul,wikitable,2 October 1988,,,17 September 1988,,Asia,S024 XXIV,,,,,
France,,Albertville,wikitable,8 February 1992,,,W016 XVI,23 February 1992,1992,Europe,,,,,
Spain,,Barcelona,wikitable,,,,9 August 1992,,S025 XXV,,,,25 July 1992,,
Norway,,Lillehammer,wikitable,27 February 1994,,,12 February 1994,,1994,,,,W017 XVII,,
United States,,Atlanta,wikitable,19 July 1996,,,,4 August 1996,1996,North America,,,S026 XXVI,,
Japan,,Nagano,wikitable,7 February 1998,,,W018 XVIII,22 February 1998,1998,Asia,,,,,
Australia,,Sydney,wikitable,15 September 2000,,,,1 October 2000,2000,Oceania,,,S027 XXVII,,
United States,,Salt Lake City,wikitable,8 February 2002,,,W019 XIX,24 February 2002,2002,North America,,,,,
Greece,,Athens,wikitable,13 August 2004,,,,29 August 2004,2004,Europe,,,S028 XXVIII,,
Italy,,Turin,wikitable,26 February 2006,,,10 February 2006,,2006,,,,W020 XX,,
