Year,City,Country,Season,Notes,Source_table,Raw
1968,Mexico,North America,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,Mexico | North America | 1968 | 1968 | 1 ( 1968 ) | 
1972,Sapporo,Japan,Winter,,, | Sapporo | Japan | 1972 | Asia |  | W011 XI | 3 February 1972 | 13 February 1972 | 
1972,Munich,West Germany,Winter,,, | Munich | West Germany | Europe | S020 XX |  | 26 August 1972 | 11 September 1972 | 
1976,Innsbruck,Austria,Winter,,, | Innsbruck | Austria | 1976 |  | W012 XII | 4 February 1976 | 15 February 1976 | 
1976,Montreal,Canada,Winter,,, | Montreal | Canada | North America | S021 XXI |  | 17 July 1976 | 1 August 1976 | 
1976,Canada,North America,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,"Canada | North America | 1976 | 2010 | 1 ( 1976 ) | 2 ( 1988 , 2010 )"
1980,Lake Placid,United States,Winter,,, | Lake Placid | United States | 1980 |  | W013 XIII | 13 February 1980 | 24 February 1980 | 
1980,Moscow,Soviet Union,Winter,,, | Moscow | Soviet Union | Europe | S022 XXII |  | 19 July 1980 | 3 August 1980 | 
1980,Russia,,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,Russia | 1980 | 2014 | 1 ( 1980 ) | 1 ( 2014 )
1984,Sarajevo,Yugoslavia,Winter,,, | Sarajevo | Yugoslavia | 1984 |  | W014 XIV | 8 February 1984 | 19 February 1984 | 
1984,Los Angeles,United States,Winter,,, | Los Angeles | United States | North America | S023 XXIII |  | 28 July 1984 | 12 August 1984 | 
1984,Bosnia and Herzegovina,,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,Bosnia and Herzegovina | 1984 | 1984 |  | 1 ( 1984 )
1988,Calgary,Canada,Winter,,, | Calgary | Canada | 1988 |  | W015 XV | 13 February 1988 | 28 February 1988 | 
1988,Seoul,South Korea,Winter,,, | Seoul | South Korea | Asia | S024 XXIV |  | 17 September 1988 | 2 October 1988 | 
1988,South Korea,Asia,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,South Korea | Asia | 1988 | 2018 | 1 ( 1988 ) | 1 ( 2018 )
1992,Albertville,France,Winter,,, | Albertville | France | 1992 | Europe |  | W016 XVI | 8 February 1992 | 23 February 1992 | 
1992,Barcelona,Spain,Winter,,, | Barcelona | Spain | S025 XXV |  | 25 July 1992 | 9 August 1992 | 
1992,Spain,,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,Spain | 1992 | 1992 | 1 ( 1992 ) | 
1994,Lillehammer,Norway,Winter,,, | Lillehammer | Norway | 1994 |  | W017 XVII | 12 February 1994 | 27 February 1994 | 
1996,Atlanta,United States,Summer,,, | Atlanta | United States | 1996 | North America | S026 XXVI |  | 19 July 1996 | 4 August 1996 | 
1998,Nagano,Japan,Winter,,, | Nagano | Japan | 1998 | Asia |  | W018 XVIII | 7 February 1998 | 22 February 1998 | 
2000,Sydney,Australia,Summer,,, | Sydney | Australia | 2000 | Oceania | S027 XXVII |  | 15 September 2000 | 1 October 2000 | 
2002,Salt Lake City,United States,Winter,,, | Salt Lake City | United States | 2002 | North America |  | W019 XIX | 8 February 2002 | 24 February 2002 | 
2004,Athens,Greece,Summer,,, | Athens | Greece | 2004 | Europe | S028 XXVIII |  | 13 August 2004 | 29 August 2004 | 
2006,Turin,Italy,Winter,,, | Turin | Italy | 2006 |  | W020 XX | 10 February 2006 | 26 February 2006 | 
2008,Beijing,China,Summer,,, | Beijing | China | 2008 | Asia | S029 XXIX |  | 8 August 2008 | 24 August 2008 | 
